tag	value
355	CM000682.1
356	CM000683.1
357	CM000684.1
358	CM000685.1
359	CM000686.1
360	CM000663.1
361	CM000664.1
362	CM000665.1
363	CM000666.1
364	CM000667.1
365	CM000668.1
366	CM000669.1
367	CM000670.1
368	CM000671.1
369	CM000672.1
370	CM000673.1
371	CM000674.1
372	CM000675.1
373	CM000676.1
374	CM000677.1
375	CM000678.1
376	CM000679.1
377	CM000680.1
378	CM000681.1
379	CM000682.1
380	CM000683.1
381	CM000684.1
382	CM000685.1
383	CM000686.1
