tag	what
0	WGS
1	WGA
2	WXS
3	RNA-Seq
4	ssRNA-seq
5	miRNA-Seq
6	ncRNA-Seq
7	FL-cDNA
8	EST
9	Hi-C
10	ATAC-seq
11	WCS
12	RAD-Seq
13	CLONE
14	POOLCLONE
15	AMPLICON
16	CLONEEND
17	FINISHING
18	ChIP-Seq
19	MNase-Seq
20	DNase-Hypersensitivity
21	Bisulfite-Seq
22	CTS
23	MRE-Seq
24	MeDIP-Seq
25	MBD-Seq
26	Tn-Seq
27	VALIDATION
28	FAIRE-seq
29	SELEX
30	RIP-Seq
31	ChIA-PET
32	Synthetic-Long-Read
33	Targeted-Capture
34	Tethered Chromatin Conformation Capture
35	OTHER
